1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,Day,Group,Day.1,Total
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,217,87,16,6,117,271,411,1436,357,708,500,387,205,577,310,124,369,1144,1186,153,121,105,297,185,133,197,761,183,91,70,188,253,427,766,463,827,830,259,212,117,0,21,189,292,983,977,1180,937,964,77,130,180,273,166,283,565,46,352,197,270,48,20,79,0,70,7,30,59,0,0,0,0,0,0,0,0,0,0,0,2,Summer,Wednesday,23620
0,0,0,0,0,10,0,0,0,0,0,139,33,62,58,44,18,222,115,0,0,134,243,109,306,320,402,354,432,190,304,41,104,129,122,229,54,143,145,142,260,464,92,150,133,0,243,195,123,102,292,239,472,208,216,82,176,108,574,895,902,1001,1029,971,1013,897,457,1086,747,89,146,82,20,0,0,0,0,81,210,0,106,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Summer,Thursday,18750
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,121,406,191,52,4,125,115,286,340,466,410,174,0,0,0,0,0,143,394,389,271,312,194,626,575,292,215,600,524,417,467,156,716,596,230,268,619,992,993,937,1087,827,75,83,11,26,4,17,34,0,0,74,158,485,116,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Summer,Friday,16917
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,311,57,507,1007,956,1058,965,1042,1073,765,125,67,0,107,377,0,95,161,0,232,181,0,78,76,86,0,0,177,523,65,0,29,87,527,8,13,0,60,0,44,14,6,0,0,32,33,0,164,265,53,1378,321,614,796,974,61,1008,130,46,150,62,0,502,137,149,0,0,54,0,0,0,0,0,0,0,0,0,0,0,5,Summer.W,Saturday,17958
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,79,271,0,0,86,264,36,0,89,421,0,290,849,840,1093,853,961,725,159,41,0,34,168,141,282,690,391,822,770,690,704,668,662,746,530,366,193,426,635,29,69,18,4,45,637,257,145,39,46,33,16,0,0,0,0,0,35,68,0,0,0,0,0,0,0,0,0,0,0,0,6,Summer.W,Sunday,17420
0,0,0,0,0,0,0,0,0,0,0,0,0,4,131,51,107,29,11,207,0,93,13,90,93,68,71,85,71,50,14,39,33,531,1042,1130,917,974,1050,564,91,455,427,994,1033,977,1015,1031,1114,677,36,148,45,90,1038,1119,1043,1037,1070,216,18,7,10,16,277,394,34,434,0,14,52,27,43,8,0,111,561,42,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Summer,Monday,23181
0,0,0,0,0,0,0,0,0,0,19,157,68,331,730,457,447,168,394,149,131,144,247,439,409,329,282,254,712,1557,181,237,1227,373,394,326,197,146,213,504,234,342,257,794,1432,453,155,459,752,867,743,646,580,642,708,530,760,822,1015,801,747,765,448,151,170,681,858,871,766,787,530,224,39,20,185,70,19,20,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Summer,Tuesday,31641
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,71,155,153,94,0,189,217,165,216,289,259,149,271,257,146,818,283,1252,1050,961,182,27,44,134,235,868,1056,404,186,72,432,208,313,669,281,194,372,451,272,149,0,0,29,7,4,0,0,207,50,633,1133,814,879,471,323,136,44,13,10,21,0,69,28,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Summer,Wednesday,18673
0,0,0,0,0,0,0,0,0,0,0,0,0,52,202,278,192,149,327,229,8,0,0,9,0,0,0,6,0,0,8,191,120,6,142,0,0,0,6,18,32,0,0,0,8,24,0,39,69,368,83,126,110,25,62,321,269,87,472,47,9,6,167,0,131,57,0,161,40,11,40,123,67,24,22,7,45,13,148,158,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Summer,Thursday,5362
0,0,0,0,0,0,0,0,0,0,0,69,526,68,144,360,301,270,215,253,364,287,468,394,421,362,251,623,365,470,354,319,458,705,709,588,210,75,253,438,58,16,57,9,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Summer,Friday,10767
